NODE OR WAY|QUESTION|ID|KEY|SCORE|VALIDATING|ANSWERS|shape
WAY|Su cosa si trova la strada ciclabile?|972.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1296857.629000842 5600017.545671002, 1296843.42681111 5599948.024891417)
WAY|La segnaletica è orizzontale, verticale o entrambi?|232.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1293595.450059738 5598606.240612572, 1293609.262100422 5598605.466882348, 1293678.74107579 5598606.003768801, 1293685.760314528 5598611.317021814, 1293693.425840598 5598607.937124318, 1293704.825213885 5598597.554280822, 1293724.52444494 5598598.512399239, 1293752.14742528 5598601.0057142, 1293771.46604395 5598602.305727281, 1293809.829670322 5598603.087848221, 1293836.446131356 5598603.310082084)
WAY|Su cosa si trova la strada ciclabile?|232.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1293595.450059738 5598606.240612572, 1293609.262100422 5598605.466882348, 1293678.74107579 5598606.003768801, 1293685.760314528 5598611.317021814, 1293693.425840598 5598607.937124318, 1293704.825213885 5598597.554280822, 1293724.52444494 5598598.512399239, 1293752.14742528 5598601.0057142, 1293771.46604395 5598602.305727281, 1293809.829670322 5598603.087848221, 1293836.446131356 5598603.310082084)
WAY|La segnaletica è orizzontale, verticale o entrambi?|1177.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1291240.708237528 5597595.406491232, 1291243.603202715 5597594.391463873, 1291258.844479608 5597584.537964242, 1291264.505928295 5597578.481573642, 1291317.18591448 5597536.048382776)
WAY|Su cosa si trova la strada ciclabile?|1177.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1291240.708237528 5597595.406491232, 1291243.603202715 5597594.391463873, 1291258.844479608 5597584.537964242, 1291264.505928295 5597578.481573642, 1291317.18591448 5597536.048382776)
WAY|La segnaletica è orizzontale, verticale o entrambi?|122.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1292556.496013113 5603459.009022132, 1292561.998187506 5603462.750144863, 1292734.248886743 5603486.867598428)
WAY|Su cosa si trova la strada ciclabile?|122.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292556.496013113 5603459.009022132, 1292561.998187506 5603462.750144863, 1292734.248886743 5603486.867598428)
WAY|La segnaletica è orizzontale, verticale o entrambi?|536.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1293174.424799507 5596863.8054493, 1293014.459948608 5596892.002148347, 1292972.508505366 5596900.318788463, 1292963.787209553 5596901.655684495, 1292802.586040976 5596928.58142144, 1292791.408416085 5596931.239011564, 1292751.717900813 5596939.189685982, 1292741.916182134 5596941.173424614, 1292715.178364907 5596945.028904341, 1292699.162396415 5596947.798413221, 1292625.323228518 5596961.00247567, 1292612.532597523 5596963.292329078, 1292485.899425222 5596985.500717923, 1292394.931852859 5597001.327730063, 1292381.498637997 5596977.447474708)
WAY|Su cosa si trova la strada ciclabile?|536.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1293174.424799507 5596863.8054493, 1293014.459948608 5596892.002148347, 1292972.508505366 5596900.318788463, 1292963.787209553 5596901.655684495, 1292802.586040976 5596928.58142144, 1292791.408416085 5596931.239011564, 1292751.717900813 5596939.189685982, 1292741.916182134 5596941.173424614, 1292715.178364907 5596945.028904341, 1292699.162396415 5596947.798413221, 1292625.323228518 5596961.00247567, 1292612.532597523 5596963.292329078, 1292485.899425222 5596985.500717923, 1292394.931852859 5597001.327730063, 1292381.498637997 5596977.447474708)
WAY|La segnaletica è orizzontale, verticale o entrambi?|215.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1296292.781615485 5592881.769636281, 1296377.997737594 5592861.692693716, 1296476.286809184 5592838.252468699)
WAY|Su cosa si trova la strada ciclabile?|215.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1296292.781615485 5592881.769636281, 1296377.997737594 5592861.692693716, 1296476.286809184 5592838.252468699)
WAY|La segnaletica è orizzontale, verticale o entrambi?|1075.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1292140.289908432 5597608.454272308, 1292148.786786295 5597613.469783749, 1292303.75212971 5597832.406628823)
WAY|Su cosa si trova la strada ciclabile?|1075.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1292140.289908432 5597608.454272308, 1292148.786786295 5597613.469783749, 1292303.75212971 5597832.406628823)
WAY|La segnaletica è orizzontale, verticale o entrambi?|233.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1293836.446131356 5598603.310082084, 1293841.000273826 5598603.348098963, 1293939.016819017 5598604.225762403, 1293982.635873569 5598605.454400756, 1294007.087366545 5598606.169494736, 1294033.136106904 5598606.271939872, 1294212.68776216 5598590.81780621, 1294271.822910469 5598587.753003988, 1294296.489542178 5598587.087757548, 1294396.851698993 5598589.213936199, 1294412.267646085 5598595.897580914, 1294422.826991157 5598598.927853338, 1294435.823114623 5598599.685834493, 1294495.541008874 5598603.42007107, 1294537.016978644 5598607.800403665, 1294792.799737866 5598624.978803585, 1294796.223388992 5598624.999989007, 1294798.474567042 5598624.330425127)
WAY|Su cosa si trova la strada ciclabile?|233.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1293836.446131356 5598603.310082084, 1293841.000273826 5598603.348098963, 1293939.016819017 5598604.225762403, 1293982.635873569 5598605.454400756, 1294007.087366545 5598606.169494736, 1294033.136106904 5598606.271939872, 1294212.68776216 5598590.81780621, 1294271.822910469 5598587.753003988, 1294296.489542178 5598587.087757548, 1294396.851698993 5598589.213936199, 1294412.267646085 5598595.897580914, 1294422.826991157 5598598.927853338, 1294435.823114623 5598599.685834493, 1294495.541008874 5598603.42007107, 1294537.016978644 5598607.800403665, 1294792.799737866 5598624.978803585, 1294796.223388992 5598624.999989007, 1294798.474567042 5598624.330425127)
WAY|La segnaletica è orizzontale, verticale o entrambi?|562.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1295851.401023335 5579802.328613957, 1295806.353547892 5579775.16478439, 1295716.738527929 5579723.566475015, 1295678.922766892 5579702.442018366, 1295615.220790019 5579666.471938355, 1295582.557416107 5579647.532722106, 1295510.479380648 5579606.343914467, 1295469.464981991 5579582.969732258, 1295402.552429035 5579544.357690977, 1295279.901945194 5579474.220999549, 1295211.378587078 5579434.091601128, 1295079.926302055 5579357.571904561, 1295034.492810534 5579330.418075004, 1294952.09125568 5579284.070944827, 1294877.549891558 5579239.036884191, 1294849.32331305 5579224.265854077, 1294785.174271887 5579186.345404941, 1294751.708160201 5579166.645863964, 1294662.193249711 5579117.782475268, 1294555.852024848 5579056.130159449, 1294483.002288414 5579014.96081552, 1294385.328579119 5578955.37923141, 1294298.626274579 5578908.775217047, 1294166.408134842 5578832.271395404, 1294006.132188286 5578733.929061274, 1293883.440080044 5578661.82014278, 1293650.075857381 5578526.622104391, 1293309.52512143 5578327.040198824, 1292940.151185637 5578117.791515267)
WAY|Su cosa si trova la strada ciclabile?|562.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1295851.401023335 5579802.328613957, 1295806.353547892 5579775.16478439, 1295716.738527929 5579723.566475015, 1295678.922766892 5579702.442018366, 1295615.220790019 5579666.471938355, 1295582.557416107 5579647.532722106, 1295510.479380648 5579606.343914467, 1295469.464981991 5579582.969732258, 1295402.552429035 5579544.357690977, 1295279.901945194 5579474.220999549, 1295211.378587078 5579434.091601128, 1295079.926302055 5579357.571904561, 1295034.492810534 5579330.418075004, 1294952.09125568 5579284.070944827, 1294877.549891558 5579239.036884191, 1294849.32331305 5579224.265854077, 1294785.174271887 5579186.345404941, 1294751.708160201 5579166.645863964, 1294662.193249711 5579117.782475268, 1294555.852024848 5579056.130159449, 1294483.002288414 5579014.96081552, 1294385.328579119 5578955.37923141, 1294298.626274579 5578908.775217047, 1294166.408134842 5578832.271395404, 1294006.132188286 5578733.929061274, 1293883.440080044 5578661.82014278, 1293650.075857381 5578526.622104391, 1293309.52512143 5578327.040198824, 1292940.151185637 5578117.791515267)
WAY|Su cosa si trova la strada ciclabile?|1050.0|livello|3.0|no|su marciapiede, su ponte, a raso e un tratto su ponte, sopraelevato, rampa accordo al ponte, sovrappasso|LINESTRING (1291131.82789557 5594165.4034261, 1291125.05819401 5594167.38380908)
WAY|La segnaletica è orizzontale, verticale o entrambi?|495.0|segnaletic|3.0|no|solo verticale, solo orizzontale, entrambi, nessuna|LINESTRING (1292432.605505153 5595805.945464102, 1292441.099006256 5595814.373073919, 1292441.590306238 5595815.707464956, 1292479.582943109 5595848.838213566, 1292517.86978669 5595881.809404527, 1292548.790411781 5595908.867060035, 1292574.493462451 5595931.742216327, 1292591.115000572 5595946.50879644, 1292601.261426004 5595955.183108809, 1292612.533727064 5595980.324240993, 1292620.102530063 5595987.881507497, 1292624.400116074 5595991.343522566)
